Test Case ID,Description,Object,Action,DataColumn,WaitAfter
ExpoContainerEdit,click on options,,clickElement,,
ExpoContainerEdit,select containers,,clickElement,,
ExpoContainerEdit,click edit button,"//*[@id=""__next""]/div/div/div/div[1]/div/div[2]/div[1]/button",click,,
ExpoContainerEdit,Edit Name,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[1]/div/span[1]",click,Name,
ExpoContainerEdit,Edit Width,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[2]/div/span[1]",click,Width,
ExpoContainerEdit,Edit Length,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[3]/div/span[1]",click,Length,
ExpoContainerEdit,Edit Height,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[4]/div/span[1]",click,Height,
ExpoContainerEdit,Edit Max Weight,"//*[@id=""__next""]/div/div/div/div[1]/div/div[3]/div/div/div/div/div/div/table/thead/tr/th[5]/div/span[1]",click,MaxWeight,
ExpoContainerEdit,click submit,,click,,
